Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
Орловская область,2019,301.089918256131,26184,6.6,12.2057220708447,329.9,5.2343,72.76,53.6,16.4,15.8,15.8,15.3,18.4
Пензенская область,2019,305.2067381317,22990,4.2,9.89509954058193,320.4,5.5319,74.44,53.8,14.5,14.1,14.5,14.0,17.5
Пермский край,2019,253.32820315506,30618,5.3,16.5259715275106,338.3,6.6926,71.83,54.4,13.8,13.3,13.5,13.2,15.5
Приморский край,2019,251.529535864979,36884,5.5,16.3950421940928,443.0,7.8955,71.26,57.0,13.6,13.3,13.4,13.6,15.4
Псковская область,2019,304.632587859425,25525,5.2,13.1086261980831,383.6,7.2374,71.28,53.0,17.9,17.4,17.2,16.8,19.0
Республика Адыгея,2019,255.075593952484,29139,8.2,10.170626349892,438.7,6.4231,74.16,54.3,12.9,12.6,12.3,12.3,13.3
Республика Алтай,2019,188.181818181818,20256,12.8,19.4,200.5,4.9407,71.28,52.9,9.9,9.7,10.1,10.1,11.3
Республика Башкортостан,2019,246.904408122833,30603,4.4,13.7065378900446,358.3,5.7925,73.2,54.9,12.9,12.4,12.4,12.1,15.0
Республика Бурятия,2019,205.375253549696,25302,9.2,22.4452332657201,258.4,5.8263,71.17,54.8,11.2,10.7,10.7,11.0,12.0
Республика Дагестан,2019,142.719382835101,27410,13.0,4.38026358084217,202.6,0.7307,79.64,59.8,5.2,5.1,4.8,4.8,6.3
Республика Ингушетия,2019,130.571992110454,16614,26.8,3.55029585798817,185.8,0.1445,83.67,58.2,3.3,3.2,3.1,3.0,3.8
Республика Калмыкия,2019,231.365313653137,18508,9.1,10.3210332103321,327.3,3.1537,75.03,55.1,9.8,9.9,9.7,9.4,11.1
Республика Карелия,2019,278.338762214984,30854,7.1,20.0879478827362,392.4,9.7458,71.93,53.9,14.8,14.6,14.8,14.2,16.6
Республика Коми,2019,235.322777101096,35428,7.7,20.6881851400731,310.3,10.837,71.84,56.4,12.4,11.8,11.9,12.0,13.5
Республика Крым,2019,284.884937238494,22366,5.6,10.972280334728,197.2,5.8901,72.93,53.3,15.2,14.4,14.1,14.0,16.1
Республика Марий Эл,2019,262.150220913108,20877,4.1,11.419734904271,252.9,6.5305,73.49,54.0,13.2,12.4,12.7,12.0,14.4
Республика Мордовия,2019,286.708860759494,19748,4.3,10.2025316455696,321.4,5.1001,74.57,56.3,14.1,13.5,13.4,13.2,16.7
Республика Саха (Якутия),2019,175.0,45528,7.6,12.7438271604938,231.6,5.4679,73.41,57.6,8.4,8.1,7.8,7.8,9.3
Республика Северная Осетия – Алания,2019,237.302725968436,24522,13.6,13.6341463414634,307.7,0.5472,76.24,55.2,10.4,10.3,10.2,10.3,12.3
Республика Татарстан,2019,252.805534204458,35733,3.3,12.7694081475788,287.8,6.7012,75.72,55.2,11.6,11.3,11.4,11.0,13.9
Республика Тыва,2019,115.596330275229,16618,12.1,26.3792048929664,141.4,1.9976,68.26,53.7,9.8,8.7,8.8,8.3,9.4
Республика Хакасия,2019,239.887640449438,22691,7.9,19.9250936329588,403.6,4.9407,71.92,54.1,12.8,12.6,12.4,12.5,14.0
Ростовская область,2019,275.964745116722,30866,4.8,14.5102429728442,330.0,3.8036,74.14,55.4,13.9,13.4,13.5,13.3,15.5
Рязанская область,2019,308.295761947701,26886,4.4,9.24256086564473,391.5,6.0307,73.74,53.4,16.0,15.3,15.4,15.2,18.1
Самарская область,2019,276.376218936773,29422,4.1,13.413022963196,314.3,6.107,73.38,54.9,13.9,13.7,13.5,13.2,16.7
Саратовская область,2019,284.227910817506,22760,4.0,12.1036333608588,336.6,4.4568,73.94,55.0,14.0,13.6,13.9,13.7,16.8
Сахалинская область,2019,237.295081967213,59016,5.1,19.4159836065574,319.5,11.1699,71.19,56.6,13.1,12.0,12.7,12.5,13.7
Свердловская область,2019,261.841800046393,39095,4.0,13.3975875666899,395.1,7.4092,72.27,54.1,14.0,13.3,13.5,13.3,15.7
Смоленская область,2019,291.657754010695,27485,5.0,14.9283422459893,249.8,7.1773,72.34,55.4,16.2,15.5,15.5,15.1,17.2
Ставропольский край,2019,248.198358901177,24393,4.8,12.3952907599001,271.6,2.7705,75.09,56.2,11.7,11.2,11.5,11.3,13.1
Тамбовская область,2019,315.690168818272,28154,3.8,12.5700099304866,330.4,4.2216,74.21,53.6,15.9,15.1,15.6,15.0,17.8
Тверская область,2019,301.904761904762,27212,4.1,16.4539682539683,396.4,7.4619,71.81,53.1,17.7,16.9,16.8,16.3,18.5
Томская область,2019,233.148148148148,28381,4.9,16.3518518518519,292.4,5.9603,73.53,57.4,11.4,11.4,11.1,11.3,13.3
Тульская область,2019,312.346521145975,28561,3.8,8.89904502046385,369.9,5.642,72.85,54.0,17.0,16.5,16.2,15.9,18.7
Тюменская область,2019,180.463135480437,48933,2.8,7.09289326590365,334.2,5.7625,74.54,59.1,8.2,7.9,7.9,7.7,9.3
Удмуртская Республика,2019,255.562958027981,25066,3.6,18.0279813457695,299.4,9.9152,73.31,53.9,12.6,12.0,12.0,11.9,14.1
Ульяновская область,2019,297.39837398374,23710,3.8,10.2951219512195,300.5,5.188,73.31,53.9,14.8,14.0,14.2,13.8,16.9
Хабаровский край,2019,233.586626139818,41460,4.5,18.1914893617021,272.5,9.4448,70.41,57.6,13.1,13.0,12.8,13.3,15.6
Челябинская область,2019,262.377380265436,25432,4.9,19.2057126370456,324.9,5.4693,72.54,54.3,13.6,13.0,13.2,13.1,16.0
Чеченская Республика,2019,106.152805949966,24153,13.1,2.55510480054091,173.0,0.0889,76.28,55.3,4.7,4.6,4.4,4.3,6.3
Чувашская Республика,2019,258.210180623974,20162,4.3,10.2052545155993,233.0,6.1225,73.83,55.0,13.2,12.6,12.6,12.4,15.5
Чукотский автономный округ,2019,152.0,83385,5.0,15.5,108.3,8.3082,67.01,61.7,10.0,9.4,11.0,9.1,10.5
Ярославская область,2019,290.66985645933,28667,4.8,14.122009569378,273.9,7.894,73.21,53.7,15.7,15.2,14.9,14.7,17.3
Алтайский край,2020,270.862369337979,23917,6.3,9.28992990250231,334.6,5.3943,72.56,54.2,14.0,14.2,14.0,16.5,19.1
Амурская область,2020,225.831202046036,35508,6.2,2.81556923315139,295.8,7.7359,69.85,57.4,13.4,13.4,14.0,16.2,18.5
Архангельская область,2020,263.531499556344,36785,7.5,9.34406361717707,305.1,8.7451,73.42,55.1,13.0,13.1,13.0,14.7,17.7
Астраханская область,2020,240.981963927856,25206,8.3,12.1594074695558,286.5,4.5826,74.92,55.6,11.4,11.6,11.3,13.6,16.4
Белгородская область,2020,273.329007138222,32884,5.0,16.876325458074,327.9,4.8388,74.87,55.9,13.5,13.5,13.3,15.6,18.2
Брянская область,2020,276.923076923077,28636,4.0,13.4120083771029,206.6,5.693,73.42,55.5,15.3,15.2,14.7,17.0,20.3
Владимирская область,2020,291.281669150522,25955,5.7,13.342951273009,309.9,7.8053,72.86,54.6,15.7,16.0,15.6,18.3,21.5
Волгоградская область,2020,271.393939393939,24995,7.3,10.6038460169147,429.3,4.3431,74.84,55.9,13.1,13.3,13.1,15.9,18.9
Вологодская область,2020,262.293657688966,29682,6.5,11.208694505958,347.4,9.0235,73.01,54.6,14.4,14.4,14.1,15.7,18.4
Воронежская область,2020,285.212489158716,32102,4.6,13.4280161274192,360.2,5.0699,74.76,55.8,14.6,14.7,14.1,16.5,20.3
г.Москва,2020,269.57724219676,78106,3.6,14.5744524575549,297.7,5.5653,78.92,57.6,9.6,9.7,9.5,11.9,13.6
г.Санкт-Петербург,2020,264.598811292719,49375,3.6,14.7768314915593,305.3,6.7702,77.06,57.6,11.4,11.1,11.0,13.6,15.6
г.Севастополь,2020,230.0,29969,4.7,12.5399017865048,269.2,6.8057,74.39,56.5,13.1,12.8,13.0,13.2,14.7
Еврейская автономная область,2020,226.751592356688,28126,5.4,2.76113885340456,255.5,9.3618,69.48,56.6,13.3,13.7,14.2,15.9,18.0
Забайкальский край,2020,201.329534662868,27048,10.1,4.71663204662166,285.6,7.6633,70.31,57.2,11.7,12.3,12.4,13.7,15.8
Ивановская область,2020,285.714285714286,26284,5.9,12.3411764345023,308.8,6.7927,72.8,55.2,15.9,16.1,15.8,17.7,20.5
Иркутская область,2020,223.789473684211,27577,8.1,8.49591165647938,261.6,6.9022,70.58,55.8,12.9,13.1,13.2,15.0,17.7
Кабардино-Балкарская Республика,2020,201.611047180667,22016,16.2,17.5827132569512,279.0,0.8494,77.17,58.3,8.5,8.2,8.3,10.1,10.8
Калининградская область,2020,246.319921491658,29621,6.9,12.735741175121,375.6,7.4997,74.51,57.4,12.5,12.2,11.8,13.2,15.6
Калужская область,2020,277.622377622378,32559,5.1,8.97702915717679,319.0,7.57,73.43,55.4,14.8,14.9,14.6,17.3,19.3
Камчатский край,2020,201.602564102564,55381,4.1,7.33583453019511,519.2,9.8918,71.78,61.0,11.0,11.3,11.0,12.7,14.3
Карачаево-Черкесская Республика,2020,220.430107526882,19101,15.0,16.1195351156961,203.6,2.0377,76.95,57.6,9.2,9.0,9.1,10.8,12.1
Кемеровская область,2020,253.986332574032,25441,6.8,6.67255507003265,316.4,6.3894,70.93,55.3,14.1,14.4,14.2,16.2,18.2
Кировская область,2020,292.0,24292,5.4,11.1535589502205,284.4,8.1037,74.23,52.9,14.5,14.9,14.3,16.8,19.5
Костромская область,2020,279.936305732484,25786,5.7,11.7364523095207,297.6,7.5647,73.15,53.8,14.9,14.9,14.7,16.7,20.2
Краснодарский край,2020,254.714989444053,37352,5.7,13.1819491048742,307.3,5.2399,74.78,55.6,12.5,12.0,12.3,14.5,16.9
Красноярский край,2020,226.225490196078,32872,5.7,9.33344003619361,301.7,5.4958,72.22,57.5,12.3,12.4,12.2,14.3,16.5
Курганская область,2020,290.964590964591,21865,8.3,7.20348039596345,366.0,5.4752,72.29,51.8,15.2,15.5,15.2,17.4,20.4
Курская область,2020,285.14129443938,29791,4.8,13.5412594734743,318.1,4.9367,73.48,54.8,15.5,15.4,15.0,17.7,21.4
Ленинградская область,2020,265.398837823561,33235,6.0,11.5146205408084,320.7,9.254,74.45,57.7,13.3,12.9,12.5,14.9,16.9
Липецкая область,2020,283.599290780142,32534,4.6,14.5155925714117,362.1,5.516,73.98,54.7,14.7,14.5,14.3,17.8,21.1
Магаданская область,2020,212.94964028777,70982,6.1,7.21312800349498,372.6,11.1535,70.82,60.1,11.4,11.4,11.6,12.5,15.0
Московская область,2020,238.933575505968,47301,4.1,16.52059220098,358.9,9.9581,74.79,57.9,12.3,12.2,12.0,14.5,16.3
Мурманская область,2020,219.918144611187,46621,7.7,9.63253228342557,345.2,10.0156,72.9,59.6,11.1,11.3,11.4,13.5,15.9
Нижегородская область,2020,276.424299653761,33814,4.8,12.9166358755792,382.0,6.7181,73.29,55.5,14.7,15.0,14.6,17.3,19.9
Новгородская область,2020,293.243243243243,26431,7.4,7.17643262182472,332.3,7.5842,71.92,53.1,17.1,16.7,16.4,18.2,22.3
Новосибирская область,2020,245.441493180187,31606,7.1,6.8304107564818,326.5,5.9636,73.26,56.6,12.9,13.0,12.7,15.3,17.0
Омская область,2020,251.102941176471,27377,8.7,13.4241258535951,263.2,4.4185,73.49,55.6,12.9,12.9,12.6,15.6,17.9
Оренбургская область,2020,250.591868244982,24731,6.9,12.0911227476369,390.9,4.9589,72.97,55.0,13.3,13.3,13.0,16.3,18.8
Орловская область,2020,292.551724137931,26990,6.3,14.4792432234249,337.6,5.4253,73.21,54.7,15.8,15.8,15.3,18.4,20.8
Пензенская область,2020,297.13400464756,24135,4.6,15.7823360542497,326.1,5.832,74.84,54.6,14.1,14.5,14.0,17.5,19.9
Пермский край,2020,245.133772780147,30237,5.0,10.8617593452198,342.8,6.7472,72.32,55.3,13.3,13.5,13.2,15.5,17.2
Приморский край,2020,243.343982960596,37349,5.1,9.07970425424844,456.3,7.7431,71.76,58.0,13.3,13.4,13.6,15.4,17.0
Псковская область,2020,294.838709677419,26444,6.3,11.7080390030386,386.5,7.4804,71.78,54.2,17.4,17.2,16.8,19.0,21.7
Республика Адыгея,2020,246.436285097192,30320,8.4,17.2295889723318,441.8,6.1957,74.57,55.6,12.6,12.3,12.3,13.3,15.7
Республика Алтай,2020,180.995475113122,21683,16.5,4.49364748401446,206.4,4.8211,71.78,54.0,9.7,10.1,10.1,11.3,12.9
Республика Башкортостан,2020,239.162929745889,30409,6.0,12.2952797051861,369.5,5.7819,73.65,55.8,12.4,12.4,12.1,15.0,16.5
Республика Бурятия,2020,197.3630831643,26222,10.7,5.20250789338197,263.6,5.2741,71.67,55.7,10.7,10.7,11.0,12.0,13.7
Республика Дагестан,2020,138.078518991382,27666,15.9,21.5884299275433,205.6,0.8161,79.88,60.6,5.1,4.8,4.8,6.3,6.2
Республика Ингушетия,2020,127.325581395349,16877,31.6,22.3692705788683,182.5,0.1507,83.71,59.0,3.2,3.1,3.0,3.8,4.2
Республика Калмыкия,2020,223.703703703704,19816,9.1,15.5552207815656,334.3,3.3078,75.42,56.0,9.9,9.7,9.4,11.1,13.5
Республика Карелия,2020,269.786535303777,32596,8.8,4.23064778013528,397.9,11.1777,72.41,54.8,14.6,14.8,14.2,16.6,20.6
