Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
Новгородская область,2021,296.757679180887,29229,3.2,7.74997952497953,338.3,7.919,72.39,53.0,16.7,16.4,18.2,22.3,16.9
Новосибирская область,2021,246.726618705036,35261,5.4,9.02874545889621,338.8,6.0251,73.7,56.2,13.0,12.7,15.3,17.0,13.8
Омская область,2021,255.106382978723,29972,5.9,13.1929303539598,270.0,4.9693,73.92,55.2,12.9,12.6,15.6,17.9,13.8
Оренбургская область,2021,254.545454545455,26518,4.3,12.8450209766216,397.9,5.3049,73.41,54.6,13.3,13.0,16.3,18.8,13.3
Орловская область,2021,296.638655462185,29846,4.3,14.463301985371,346.1,5.5713,73.65,54.4,15.8,15.3,18.4,20.8,17.2
Пензенская область,2021,301.177394034537,26415,4.3,15.2722883365021,332.5,5.8882,75.22,54.3,14.5,14.0,17.5,19.9,15.5
Пермский край,2021,247.946812671099,32747,4.0,9.96585122257864,348.2,7.0097,72.78,55.1,13.5,13.2,15.5,17.2,13.7
Приморский край,2021,245.464304884595,40843,4.1,7.01702972214154,472.3,8.0025,72.24,57.7,13.4,13.6,15.4,17.0,14.9
Псковская область,2021,298.042414355628,29332,4.0,12.19477028348,389.6,7.4926,72.26,53.9,17.2,16.8,19.0,21.7,17.8
Республика Адыгея,2021,245.940170940171,34901,8.3,15.9954774527129,442.1,5.4461,74.96,55.3,12.3,12.3,13.3,15.7,13.3
Республика Алтай,2021,184.684684684685,23798,10.2,4.15854929384341,219.3,5.3587,72.26,54.0,10.1,10.1,11.3,12.9,11.0
Республика Башкортостан,2021,242.8035982009,32621,3.8,12.6425329528469,385.6,6.2042,74.07,55.4,12.4,12.1,15.0,16.5,12.2
Республика Бурятия,2021,200.610376398779,28314,8.9,4.64115188395108,269.9,5.598,72.16,55.5,10.7,11.0,12.0,13.7,12.2
Республика Дагестан,2021,142.929613189601,30260,13.6,20.9655562970916,209.1,0.9095,80.1,60.4,4.8,4.8,6.3,6.2,5.2
Республика Ингушетия,2021,133.206106870229,18139,30.0,21.6304792107118,181.0,0.1949,83.74,58.8,3.1,3.0,3.8,4.2,3.3
Республика Калмыкия,2021,232.089552238806,21319,8.7,14.8171717171717,338.7,3.4767,75.78,55.5,9.7,9.4,11.1,13.5,10.4
Республика Карелия,2021,273.79767827529,35173,6.0,3.25942678011644,403.2,10.302,72.87,54.6,14.8,14.2,16.6,20.6,16.1
Республика Коми,2021,232.876712328767,38880,7.5,7.24660114660115,319.1,10.1016,72.78,57.0,11.9,12.0,13.5,16.2,13.1
Республика Крым,2021,278.217299578059,26357,5.9,14.8028517686066,218.0,6.9938,73.81,53.9,14.1,14.0,16.1,18.8,15.1
Республика Марий Эл,2021,259.761549925484,23185,4.4,14.3638383838384,259.2,6.8041,74.33,54.4,12.7,12.0,14.4,16.7,12.9
Республика Мордовия,2021,284.43579766537,22906,4.1,14.7522736997705,340.3,5.5167,75.34,56.8,13.4,13.2,16.7,18.6,14.7
Республика Саха (Якутия),2021,170.967741935484,50369,7.1,12.4626797506635,230.5,5.6585,74.26,58.5,7.8,7.8,9.3,10.7,8.4
Республика Северная Осетия – Алания,2021,232.412790697674,25885,12.1,13.9427128427128,319.4,1.0049,76.91,55.7,10.2,10.3,12.3,14.1,11.5
Республика Татарстан,2021,247.606793618116,39679,2.4,12.3693888032871,291.7,6.8326,76.42,55.5,11.4,11.0,13.9,15.5,11.5
Республика Тыва,2021,111.411411411411,20652,10.5,0.0,169.8,2.7685,69.43,54.7,8.8,8.3,9.4,9.0,8.6
Республика Хакасия,2021,234.593572778828,26068,5.1,4.98425609478241,428.4,6.1568,72.86,54.9,12.4,12.5,14.0,16.1,13.5
Ростовская область,2021,269.499277804526,35041,3.8,11.7051038971393,336.7,4.0764,74.95,56.2,13.5,13.3,15.5,18.9,14.7
Рязанская область,2021,302.21198156682,30495,2.9,17.3718165259149,404.7,6.5337,74.57,54.1,15.4,15.2,18.1,21.9,16.4
Самарская область,2021,270.274584929757,32663,3.0,11.9838031552046,322.0,6.5222,74.23,55.6,13.5,13.2,16.7,18.4,14.4
Саратовская область,2021,279.754341380771,26228,3.7,13.2505282469792,341.2,5.29,74.76,55.7,13.9,13.7,16.8,20.3,14.8
Сахалинская область,2021,230.99173553719,63854,5.0,7.40502967822556,339.9,11.3167,72.18,57.1,12.7,12.5,13.7,15.6,13.3
Свердловская область,2021,254.760787992495,40275,3.7,13.0058275058275,428.6,8.0982,73.19,54.9,13.5,13.3,15.7,17.9,13.9
Смоленская область,2021,288.791208791209,30731,4.6,10.4910768927056,257.8,7.4124,73.25,55.8,15.5,15.1,17.2,20.6,16.4
Ставропольский край,2021,243.597122302158,26190,4.8,13.5299059336653,270.9,3.4899,75.84,56.9,11.5,11.3,13.1,15.1,12.2
Тамбовская область,2021,311.620795107034,30241,3.6,12.1010354804325,376.7,4.7692,75.01,54.2,15.6,15.0,17.8,20.9,16.8
Тверская область,2021,294.959349593496,30528,4.0,9.18679896882144,405.6,7.9389,72.76,54.0,16.8,16.3,18.5,21.5,17.9
Томская область,2021,228.558052434457,30976,5.5,9.99297649391107,307.5,6.3991,74.37,58.1,11.1,11.3,13.3,15.5,12.0
Тульская область,2021,304.675505931612,32131,3.8,14.9717610891524,390.2,5.9131,73.74,54.9,16.2,15.9,18.7,21.3,17.4
Тюменская область,2021,179.453494482396,53381,2.6,19.3111426600574,359.8,6.7625,75.32,59.3,7.9,7.7,9.3,10.4,8.2
Удмуртская Республика,2021,252.22371967655,27650,3.7,7.952379213825,304.5,7.9031,74.16,54.6,12.0,11.9,14.1,15.6,12.3
Ульяновская область,2021,294.186046511628,26849,3.9,15.6272428720705,319.1,5.4977,74.16,54.2,14.2,13.8,16.9,19.6,15.0
Хабаровский край,2021,225.019245573518,44108,2.8,8.8059837421098,301.2,9.6168,71.44,58.1,12.8,13.3,15.6,16.8,14.0
Челябинская область,2021,255.864287803451,29498,3.8,6.74033304288896,360.4,6.338,73.45,55.0,13.2,13.1,16.0,17.7,13.4
Чеченская Республика,2021,104.221635883905,26397,10.9,23.617943116074,188.0,0.1387,76.95,56.4,4.4,4.3,6.3,5.8,4.8
Чувашская Республика,2021,255.175292153589,23619,4.3,15.3029149106964,239.6,6.3323,74.65,55.5,12.6,12.4,15.5,17.0,13.1
Чукотский автономный округ,2021,150.0,99905,3.0,9.70606060606061,111.1,8.0873,68.26,62.6,11.0,9.1,10.5,10.8,9.9
Ярославская область,2021,284.352078239609,33124,5.4,12.7600493248358,300.9,8.3011,74.07,54.5,14.9,14.7,17.3,20.3,16.0
